Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Parent_Edu_Bachelors,Parent_Edu_High School,Parent_Edu_Masters,Parent_Edu_PhD
0,31.30048579773762,84.19229131705487,68.36097967070556,1,1,64.0,True,False,False,False
1,16.735425171024218,68.32727751824807,57.83239778502113,1,1,51.2,True,False,False,False
1,28.22818665883508,90.74451357974483,90.83022888032168,0,1,72.6,False,False,True,False
1,14.94832093952079,71.22701063988089,59.504198432315846,1,1,55.2,False,True,False,False
0,15.379777575122532,86.25772334179479,64.09720848032049,1,1,68.4,False,False,True,False
0,34.656167483060855,85.9911319242931,81.99025905058787,1,1,73.3,False,False,True,False
0,11.73250366569026,78.49018497180055,77.85187475086788,1,0,63.4,True,False,False,False
1,33.09376853066374,93.91368844811214,87.08857018373574,1,0,82.4,False,False,False,True
1,1.0,56.692107756724425,43.758406967060296,0,0,24.6,False,True,False,False
1,31.31402432827328,73.62247947501582,77.36218613633467,0,0,57.3,True,False,False,False
0,10.464769350543849,78.29620201716087,46.72250725896402,1,1,56.9,False,False,True,False
1,9.56161079790081,82.81651836538843,45.05886658453043,1,1,54.2,True,False,False,False
1,26.3247987623382,90.3599698982767,94.138136086584,1,1,78.6,False,False,True,False
0,2.701098751648497,69.02144757649661,64.62387912223376,1,0,45.0,False,True,False,False
0,23.2962287578094,84.9781140492892,73.33373913480513,1,0,62.2,False,True,False,False
0,30.95206069319375,75.33378533482842,67.93802916924881,0,1,61.8,False,False,True,False
0,16.591383883104232,87.81134268303828,77.40239153037038,1,1,68.9,True,False,False,False
1,32.70735191591105,94.7339746675597,80.28783653049447,1,0,74.7,False,False,True,False
0,14.336120557755685,75.23238621712258,55.88497597796597,1,0,58.3,False,False,True,False
0,34.47259236139742,70.40363754625558,68.8533111824241,1,0,65.6,False,False,True,False
1,30.32348269659024,98.16443797127204,88.84957778119356,1,1,81.0,False,False,True,False
0,27.302466045362397,91.593753007977,76.17121740050399,1,1,73.6,False,False,True,False
0,35.41875511830751,93.03637997729776,89.45944710162391,1,0,81.7,False,False,True,False
0,12.248094526483332,67.79349003905332,49.687843844979646,1,0,41.9,False,True,False,False
0,19.074633179638766,67.81934488822036,65.57488548789337,1,0,47.3,False,True,False,False
1,35.37993360997807,73.03681100298273,73.13687892732648,1,0,61.0,True,False,False,False
0,36.04466383917119,84.98030932799082,85.73884189912434,1,0,82.2,False,False,False,True
1,38.689577687553275,96.03749796572176,100.0,0,0,73.6,True,False,False,False
1,10.319805187852634,89.41109970918716,70.96318957562121,1,1,54.1,False,True,False,False
0,27.403441083856727,85.08915006189473,67.60106281734002,1,1,77.7,False,False,False,True
1,15.37397835475604,57.1367883888137,65.61948500342837,1,0,44.6,False,True,False,False
0,24.08710926193368,86.47062118050172,78.3487099505229,1,1,76.4,False,False,True,False
0,24.573338881467976,83.03662593858793,66.71358998003225,1,1,68.8,True,False,False,False
1,30.438896181754743,99.560203860532,96.30900621711794,1,0,68.9,False,True,False,False
1,20.33322694581562,82.32201923077292,66.57231375003741,1,0,70.1,False,False,False,True
1,30.209297916872114,86.65791776584246,83.6473046187825,1,1,65.9,False,True,False,False
0,8.730061536921566,68.97593680785427,63.38867553515343,1,1,43.8,True,False,False,False
0,17.878937226354623,70.27465889961894,56.762233457277794,1,0,45.0,False,True,False,False
1,19.288445173541422,77.76908290036465,56.50235539661765,1,0,54.3,False,True,False,False
0,31.48809960773847,90.19139096437624,72.80577898348676,1,0,71.5,False,True,False,False
0,30.477587174256215,92.21623108446364,81.55318771897497,1,1,70.9,False,True,False,False
1,22.210220354148575,66.93331518773574,77.25873387301762,1,1,57.2,False,True,False,False
0,11.069547442906984,92.523938799003,70.0192794362013,1,0,66.1,False,False,True,False
1,12.72999810841294,66.97812875132395,60.27176675646754,1,0,57.6,True,False,False,False
0,38.51118807088822,80.04876537385968,90.10786154435274,0,0,73.7,True,False,False,False
1,32.02814088661025,85.17191340857114,80.69875042780305,0,1,61.6,True,False,False,False
0,14.381965136041016,50.54493120057269,40.77319591523232,1,1,40.5,False,False,True,False
1,36.82388725418838,91.35421150514364,81.24829769385441,1,1,77.1,False,False,False,True
1,23.516374827832333,74.81973121451806,78.60492839053563,1,0,72.6,False,False,True,False
0,20.3682257892388,76.25604959057554,64.1699663674821,1,0,63.3,False,False,True,False
1,34.32831687407162,81.99780429171757,64.9087552474752,1,1,67.5,True,False,False,False
1,25.146317389826148,96.6023293467598,65.91144304088489,1,1,62.5,True,False,False,False
1,11.831223399836086,75.33156830481163,61.67657090596556,1,0,52.8,True,False,False,False
1,29.088482098113424,99.36557356869142,98.96012216605178,1,1,83.2,False,False,True,False
1,31.176788754143445,86.383726841056,78.8041578997861,1,0,71.8,True,False,False,False
1,23.805831868548267,89.7271414032138,74.8510064789723,1,0,66.8,True,False,False,False
0,21.98317311356802,77.87509843747486,65.44701820369146,1,1,65.7,False,False,False,True
0,27.843259284274176,88.3964013496991,62.7256212798556,1,1,67.1,False,False,True,False
0,33.12887284726479,86.01849854625802,80.39756787087477,1,0,75.9,True,False,False,False
0,12.605105760604197,72.43923091209193,71.10618414139621,1,1,62.0,False,False,True,False
0,8.51392213447597,77.96360822926964,55.648631310521054,1,1,49.3,False,True,False,False
0,20.301231062315768,74.81541554633876,79.3800034363149,1,0,55.7,False,True,False,False
1,24.21176744549571,96.51387421908927,83.86246140157397,1,0,64.0,True,False,False,False
0,33.13407450832496,86.75251903041494,71.17802706334525,1,0,68.2,True,False,False,False
0,3.4030181408693667,56.5909212265392,53.4265335390019,1,1,36.0,False,True,False,False
1,30.4629389773063,87.62475436772517,84.33747435872947,1,1,77.8,False,False,True,False
0,14.4714621783149,54.97012724468151,64.74900868873219,1,1,61.0,True,False,False,False
1,15.141951426982352,73.92667317755979,61.875933917335736,1,1,58.1,True,False,False,False
0,3.2366450127926583,61.15641997510168,57.74587425421706,1,0,49.4,False,True,False,False
1,35.67281396268598,78.31884226873358,73.06650063760819,1,1,65.4,False,True,False,False
1,32.40288831903797,90.5242607448634,84.69022615709602,1,0,80.5,False,False,False,True
0,13.632943654805288,92.15649283795447,82.84317986182731,0,1,59.7,True,False,False,False
0,3.9040478352638854,63.807771272908965,60.321137945737966,1,1,61.3,False,False,False,True
1,24.21277323053885,92.02386221382346,82.08691119037354,1,0,84.3,False,False,False,True
1,42.99033640683962,94.7621943773744,85.85029612252886,1,1,78.7,True,False,False,False
1,36.161917579918395,94.42360169742923,82.74421004776703,1,1,77.4,True,False,False,False
1,9.102696532748212,72.62514450375718,67.16981674698766,1,1,54.5,False,False,True,False
0,22.973422790573924,70.96102462466303,67.18305333629495,1,1,70.2,False,False,False,True
0,33.63013568202811,95.77300318702252,97.91762653036942,1,1,89.2,False,False,True,False
0,21.684072345606012,92.0223569673435,90.95645243331316,1,1,76.7,False,False,True,False
1,17.35724872711398,55.95602576816039,53.931435621761594,1,0,47.3,True,False,False,False
1,8.848801785993235,61.95481731553291,49.20923839008555,0,0,33.7,False,True,False,False
0,25.05182772650032,64.27427740346221,76.09241694037578,1,1,62.7,True,False,False,False
0,34.630889518309836,95.3325753096652,98.14058658715868,1,1,89.0,False,False,False,True
0,17.275461868466135,79.17846807654479,83.9493198132284,0,0,61.1,False,False,True,False
0,16.175570866051004,78.14919301944423,71.1178474594149,0,1,46.3,False,True,False,False
1,19.044406892777296,73.66242005882651,54.244247917086426,1,0,53.0,False,True,False,False
1,18.274820058109672,77.74851896751451,71.53667372866173,1,0,58.3,False,True,False,False
1,32.555061951778974,91.67282302355189,77.8959529838064,1,1,70.0,True,False,False,False
0,29.447586912925992,83.76798192197637,80.30719228556343,1,0,74.9,False,False,False,True
0,32.665189963744034,94.40529183094304,86.8661812458005,0,0,62.1,False,True,False,False
1,40.731128781013744,97.56675190805332,91.70625426067129,1,0,84.3,True,False,False,False
1,27.63460832268129,79.11229697823913,65.44246652602648,1,1,58.9,False,True,False,False
1,13.065869084231649,72.98184667775524,73.75629289285112,0,0,48.2,True,False,False,False
1,23.018648384377684,77.70114204494179,72.84589619767236,1,0,64.4,True,False,False,False
1,39.53176156826157,92.7816098982012,80.43596596098905,1,1,75.9,True,False,False,False
1,21.219438209999392,76.36523463403208,69.67380050154863,0,0,50.6,False,True,False,False
0,19.1046903405925,78.65648092177196,64.46918776815963,1,1,55.6,False,True,False,False
0,29.23407191089086,87.75756945261077,73.28220523999093,1,1,72.1,False,False,True,False
0,36.37080417151165,89.6213875795167,69.74219565045003,1,0,72.2,True,False,False,False
0,34.09409524870299,92.48503695804732,97.0871686334326,1,0,91.3,False,False,False,True
1,35.28102086341178,83.09685609772568,78.14118386511207,1,0,69.9,True,False,False,False
0,15.051720673603544,61.306196488992555,59.529059786218056,1,0,47.7,False,True,False,False
1,22.9234957674037,78.8181659687959,70.68808033538978,0,1,58.5,False,False,True,False
1,29.451602654945308,89.67648600853815,85.20903396198993,1,1,74.6,True,False,False,False
0,14.575764535223794,76.98088695610444,64.29249440580018,1,0,59.4,False,False,True,False
0,35.866893298117205,81.57741223263871,89.6143613732677,1,1,75.2,True,False,False,False
1,40.93174698631422,95.09345823905214,84.19058873651811,1,0,86.4,False,False,True,False
0,19.47082606622897,81.55071087097826,65.93641068042652,1,1,62.3,False,False,True,False
0,31.423908030958785,100.0,93.99478148690524,1,1,83.6,False,False,False,True
0,8.452615313731402,59.21920664323655,60.03789609434138,1,1,39.5,False,True,False,False
0,12.719259323897372,75.96959349890653,58.78809972459405,1,1,46.0,False,True,False,False
1,17.068997452171168,87.48123232048184,66.89300613466557,0,0,55.7,True,False,False,False
1,29.711468956015363,89.26739811578682,83.57330746328051,1,0,76.4,False,False,False,True
1,30.26448638716501,77.60880587834089,72.27133625399989,1,0,73.2,False,False,False,True
1,14.307187411286511,67.98572645750774,53.765206712695395,1,1,48.2,False,True,False,False
1,24.26082152532368,81.57297219701232,75.00144281661942,0,1,53.5,False,True,False,False
0,18.26479785492583,90.54574909169132,66.73935731272893,1,1,62.4,True,False,False,False
1,24.272241704107355,58.01890792137391,64.60862038734135,1,1,51.3,False,True,False,False
