Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S0001,Male,31.30048579773762,84.19229131705487,68.36097967070556,Bachelors,Yes,Yes,64.0,Pass
S0002,Female,16.735425171024218,68.32727751824807,57.83239778502113,Bachelors,Yes,Yes,51.2,Pass
S0003,Female,28.228186658835078,90.74451357974485,90.83022888032167,Masters,No,Yes,72.6,Pass
S0004,Female,14.94832093952079,71.22701063988089,59.504198432315846,High School,Yes,Yes,55.2,Pass
S0005,Male,15.379777575122532,86.25772334179479,64.09720848032049,Masters,Yes,Yes,68.4,Pass
S0006,Male,34.656167483060855,85.9911319242931,81.99025905058787,Masters,Yes,Yes,73.3,Pass
S0007,Male,11.732503665690261,78.49018497180055,77.85187475086788,Bachelors,Yes,No,63.4,Pass
S0008,Female,33.09376853066374,93.91368844811214,87.08857018373574,PhD,Yes,No,82.4,Pass
S0009,Female,1.0,56.692107756724425,43.758406967060296,High School,No,No,24.6,Fail
S0010,Female,31.31402432827328,73.62247947501582,77.36218613633467,Bachelors,No,No,57.3,Pass
S0011,Male,10.464769350543847,78.29620201716087,46.72250725896402,Masters,Yes,Yes,56.9,Pass
S0012,Female,9.56161079790081,82.81651836538843,45.05886658453043,Bachelors,Yes,Yes,54.2,Pass
S0013,Female,26.3247987623382,90.3599698982767,94.138136086584,Masters,Yes,Yes,78.6,Pass
S0014,Male,2.701098751648497,69.02144757649661,64.62387912223376,High School,Yes,No,45.0,Fail
S0015,Male,23.2962287578094,84.9781140492892,73.33373913480513,High School,Yes,No,62.2,Pass
S0016,Male,30.95206069319375,75.33378533482842,67.93802916924881,Masters,No,Yes,61.8,Pass
S0017,Male,16.591383883104232,87.81134268303828,77.40239153037038,Bachelors,Yes,Yes,68.9,Pass
S0018,Female,32.70735191591105,94.7339746675597,80.28783653049447,Masters,Yes,No,74.7,Pass
S0019,Male,14.336120557755683,75.23238621712258,55.88497597796597,Masters,Yes,No,58.3,Pass
S0020,Male,34.47259236139742,70.40363754625558,68.8533111824241,Masters,Yes,No,65.6,Pass
S0021,Female,30.32348269659024,98.16443797127204,88.84957778119356,Masters,Yes,Yes,81.0,Pass
S0022,Male,27.302466045362397,91.593753007977,76.17121740050399,Masters,Yes,Yes,73.6,Pass
S0023,Male,35.41875511830751,93.03637997729776,89.45944710162391,Masters,Yes,No,81.7,Pass
S0024,Male,12.248094526483333,67.79349003905332,49.687843844979646,High School,Yes,No,41.9,Fail
S0025,Male,19.074633179638766,67.81934488822036,65.57488548789337,High School,Yes,No,47.3,Fail
S0026,Female,35.37993360997807,73.03681100298273,73.13687892732648,Bachelors,Yes,No,61.0,Pass
S0027,Male,36.04466383917119,84.98030932799082,85.73884189912434,PhD,Yes,No,82.2,Pass
S0028,Female,38.689577687553275,96.03749796572176,100.0,Bachelors,No,No,73.6,Pass
S0029,Female,10.319805187852634,89.41109970918716,70.96318957562121,High School,Yes,Yes,54.1,Pass
S0030,Male,27.403441083856727,85.08915006189473,67.60106281734002,PhD,Yes,Yes,77.7,Pass
S0031,Female,15.37397835475604,57.1367883888137,65.61948500342837,High School,Yes,No,44.6,Fail
S0032,Male,24.08710926193368,86.47062118050172,78.3487099505229,Masters,Yes,Yes,76.4,Pass
S0033,Male,24.573338881467976,83.03662593858793,66.71358998003225,Bachelors,Yes,Yes,68.8,Pass
S0034,Female,30.438896181754746,99.560203860532,96.30900621711794,High School,Yes,No,68.9,Pass
S0035,Female,20.33322694581562,82.32201923077292,66.57231375003741,PhD,Yes,No,70.1,Pass
S0036,Female,30.209297916872114,86.65791776584246,83.6473046187825,High School,Yes,Yes,65.9,Pass
S0037,Male,8.730061536921566,68.97593680785427,63.38867553515343,Bachelors,Yes,Yes,43.8,Fail
S0038,Male,17.878937226354623,70.27465889961894,56.762233457277794,High School,Yes,No,45.0,Fail
S0039,Female,19.288445173541426,77.76908290036465,56.50235539661765,High School,Yes,No,54.3,Pass
S0040,Male,31.48809960773847,90.19139096437623,72.80577898348676,High School,Yes,No,71.5,Pass
S0041,Male,30.477587174256218,92.21623108446363,81.55318771897497,High School,Yes,Yes,70.9,Pass
S0042,Female,22.210220354148575,66.93331518773574,77.25873387301762,High School,Yes,Yes,57.2,Pass
S0043,Male,11.069547442906984,92.52393879900299,70.0192794362013,Masters,Yes,No,66.1,Pass
S0044,Female,12.72999810841294,66.97812875132395,60.27176675646754,Bachelors,Yes,No,57.6,Pass
S0045,Male,38.51118807088822,80.04876537385968,90.10786154435274,Bachelors,No,No,73.7,Pass
S0046,Female,32.02814088661025,85.17191340857114,80.69875042780305,Bachelors,No,Yes,61.6,Pass
S0047,Male,14.381965136041016,50.54493120057269,40.77319591523232,Masters,Yes,Yes,40.5,Fail
S0048,Female,36.82388725418838,91.35421150514365,81.24829769385441,PhD,Yes,Yes,77.1,Pass
S0049,Female,23.516374827832333,74.81973121451806,78.60492839053563,Masters,Yes,No,72.6,Pass
S0050,Male,20.3682257892388,76.25604959057554,64.1699663674821,Masters,Yes,No,63.3,Pass
S0051,Female,34.32831687407162,81.99780429171757,64.9087552474752,Bachelors,Yes,Yes,67.5,Pass
S0052,Female,25.146317389826148,96.6023293467598,65.91144304088489,Bachelors,Yes,Yes,62.5,Pass
S0053,Female,11.831223399836086,75.33156830481163,61.67657090596556,Bachelors,Yes,No,52.8,Pass
S0054,Female,29.088482098113424,99.36557356869142,98.96012216605178,Masters,Yes,Yes,83.2,Pass
S0055,Female,31.176788754143445,86.383726841056,78.8041578997861,Bachelors,Yes,No,71.8,Pass
S0056,Female,23.805831868548267,89.7271414032138,74.8510064789723,Bachelors,Yes,No,66.8,Pass
S0057,Male,21.98317311356802,77.87509843747486,65.44701820369146,PhD,Yes,Yes,65.7,Pass
S0058,Male,27.843259284274176,88.3964013496991,62.7256212798556,Masters,Yes,Yes,67.1,Pass
S0059,Male,33.12887284726479,86.01849854625802,80.39756787087477,Bachelors,Yes,No,75.9,Pass
S0060,Male,12.605105760604195,72.43923091209193,71.10618414139621,Masters,Yes,Yes,62.0,Pass
S0061,Male,8.51392213447597,77.96360822926964,55.648631310521054,High School,Yes,Yes,49.3,Fail
